,0
0,Multi-player
1,PvP
2,Online PvP
3,Shared
4,Split Screen PvP
5,Color Alternatives
6,Custom Volume Controls
7,Keyboard Only Option
8,Stereo Sound
9,Valve Anti-Cheat enabled
10,Family Sharing
11,Remote Play Together
12,Single-player
13,Adjustable Difficulty
14,Playable without Timed Input
15,Save Anytime
16,Full controller support
17,Steam Cloud
18,Remote Play on Phone
19,Remote Play on Tablet
20,Steam Achievements
21,Steam Trading Cards
22,Captions available
23,Steam Workshop
24,Camera Comfort
25,Subtitle Options
26,Surround Sound
27,Includes Source SDK
28,Commentary available
29,Steam Timeline
30,Cross-Platform Multiplayer
31,Stats
32,Includes level editor
33,In-App Purchases
34,Partial Controller Support
35,Co-op
36,Steam Leaderboards
37,Remote Play on TV
38,Online Co-op
39,SteamVR Collectibles
40,Split Screen Co-op
41,Split Screen
42,Adjustable Text Size
43,LAN PvP
44,LAN Co-op
45,MMO
46,Mods
47,Mods (require HL2)
48,Mouse Only Option
49,N
50,A
51,Solo
52,Multijoueur
53,Coopération
54,Succès Steam
55,Compat. contrôleurs complète
56,Cartes à échanger Steam
57,Antitriche Valve activée
58,Classements Steam
59,Remote Play sur télévision
60,Partage familial
61,Tracked Controller Support
62,VR Supported
63,VR Support
64,Touch Only Option
65,HDR available
66,Steam Turn Notifications
67,VR Only
68,Narrated Game Menus
69,Einzelspieler
70,Mehrspieler
71,Koop
72,Online-Koop
73,Steam-Errungenschaften
74,Käufe im Spiel
75,Teilweise Controllerunterstützung
76,Steam-Bestenlisten
77,Familienbibliothek
78,Chat Speech-to-text
79,Chat Text-to-speech
80,Um jogador
81,Multijogador
82,Cooperativo
83,Cooperativo on-line
84,Conquistas Steam
85,Compat. total com controle
86,Cartas Colecionáveis Steam
87,Nuvem Steam
88,Inclui editor de níveis
89,Compartilhamento em família
