appid,name,playtime_forever,img_icon_url,has_community_visible_stats,playtime_windows_forever,playtime_mac_forever,playtime_linux_forever,playtime_deck_forever,rtime_last_played,content_descriptorids,playtime_disconnected,playtime_2weeks,has_leaderboards,hours_played
730,Counter-Strike 2,19514,8dbc71957312bbd3baea65848b545be9eae2a355,True,100,0,0,0,1607624030,"[2, 5]",0,,,325.23
238960,Path of Exile,804,1110764aac57ac28d7ffd8c43071c75d5482a9c9,True,781,0,0,0,1657579139,"[1, 2, 5]",0,,,13.4
268420,Aura Kingdom,16,a437c523f796bbe6d34625bdc2aafb5018fd2f34,,0,0,0,0,1563302671,,0,,,0.27
286940,S.K.I.L.L. - Special Force 2,271,f37810b2bd46ff0bbd9852a7ea6762ec10e46a9a,,0,0,0,0,1522428648,"[2, 5]",0,,,4.52
291480,Warface: Clutch,438,66ef308279871d99ca776d4602bf02a354570368,True,0,0,0,0,1526139047,"[2, 5]",0,,,7.3
302590,Of Guards And Thieves,117,06883aee459f709a526cb5676ec24d2aaf454b06,True,0,0,0,0,1516480143,,0,,,1.95
346110,ARK: Survival Evolved,4980,fef1799533131c10f538d2dd697bbbd89e663265,True,4980,0,0,0,1609015901,,0,,,83.0
386360,SMITE,320,7ed9de7bbfab9accb81e47b84943e7478baf2f3a,True,250,0,0,0,1593372200,,0,,,5.33
407530,ARK: Survival Of The Fittest,0,807c673cddebbfee0700a947a75f4872ad136e9b,,0,0,0,0,0,,0,,,0.0
438040,Shakes and Fidget,212,96d02aa96ea9ddc86b9b0ee6e06cb0d98deedb3a,,212,0,0,0,1688760462,,0,,,3.53
513650,Zula Europe,175,c0f5a5ef3d5053d1ce5adad8d810800bd5d830e3,True,0,0,0,0,1518437896,,0,,,2.92
550650,Black Squad,26,213a736d8c5b75998b671de25e6621d1e7bc122a,True,0,0,0,0,1563363697,"[1, 5]",0,,,0.43
582010,Monster Hunter: World,1298,6ec147f2d423f435e15eb79b3d82f771913de634,True,1298,0,0,0,1590055680,,0,,,21.63
582660,Black Desert,29849,bf5ccace0a692720984827bf042143d0d4b28a42,,17997,0,0,0,1688694083,"[1, 5]",0,,,497.48
588160,Pizza Connection 3,171,99c18becf584f8001699a56f46ecc74e1800ba02,True,45,0,0,0,1607624323,,0,,,2.85
601510,Yu-Gi-Oh! Duel Links,2063,9ad05577afe1c49bc7fe5454a99b6a367e7a3233,True,1983,0,0,0,1656763791,,0,,,34.38
607890,Sword Art Online: Hollow Realization Deluxe Edition,905,d7c7125cc4471a73b0302443666a7c0bc36ad5c8,True,0,0,0,0,1549192215,,0,,,15.08
626690,Sword Art Online: Fatal Bullet,322,fe19fa4187e12ccdb1d6f31ef56e3e54d3fc1dee,True,0,0,0,0,1546717082,,0,,,5.37
678950,DRAGON BALL FighterZ,642,ebac40c0f7452dcafd40d0fb0ad52c2ae10639f5,True,0,0,0,0,1520086108,,0,,,10.7
703080,Planet Zoo,2103,68c7a610498955f547b0ece0aff081d23f2025b5,True,2103,0,0,0,1656092143,,0,,,35.05
745920,Temtem,1541,5cfd9f691f8ee4c04cdf2227c11026bdb3f6e68a,True,1541,0,0,0,1582140421,,0,,,25.68
770240,PRO EVOLUTION SOCCER 2019,396,27dfb1d8c6683c96a694de63f6cc13a0fbae9327,,0,0,0,0,1548346267,,0,,,6.6
799960,Wizard101,12632,6013a186e1a48b169b26e51632f23a110113deda,,12632,0,0,0,1760868933,,0,9.0,,210.53
851850,DRAGON BALL Z: KAKAROT,1712,982ea5a5c1dfbc03258671212a5d4335cc34d908,True,1712,0,0,0,1678649127,,0,,,28.53
920210,LEGO® Star Wars™: The Skywalker Saga,1895,568a07f03f8dba0b74c4a02f6ebb43ce5e09075c,True,1895,0,0,0,1709736374,,0,,,31.58
