id,alter,genre,categories,released,eigenschaften,original_price,recommendations
1840,,Animation & Modeling/ Video Production,Steam Workshop,"10 Jul, 2012",,,223.0
3360,,Casual,Single-player/ Family Sharing,"30 Aug, 2006",,3900.0,168.0
3450,,Casual,Single-player/ Family Sharing,"30 Aug, 2006",,3900.0,395.0
10220,,Action,Single-player; Steam Achievements; Family Sharing,"17 Feb, 2012",,2600.0,4274.0
10230,,Adventure,Single-player; Family Sharing,"28 Oct, 2011",,3100.0,103.0
10240,,Adventure,Single-player; Family Sharing,"28 Oct, 2011",,2800.0,
13000,,Casual; Indie,Single-player; Multi-player; Steam Achievements; Family Sharing,"21 Mar, 2008",,,
16620,,Indie; Racing; Sports,Single-player; Family Sharing,"29 Jan, 2009",,,
29120,,Indie; Casual,Single-player; Family Sharing,"Nov 12, 2009",,499.0,
29130,,Indie; Casual,Single-player; Family Sharing,"Mar 19, 2009",,499.0,134.0
32200,,Action; Indie; Racing; Sports,Single-player; Multi-player; Steam Achievements; Family Sharing,"Oct 22, 2009",,999.0,
34500,,Indie; Simulation; Strategy,Single-player; Steam Achievements; Family Sharing,"4 Jun, 2009",,,
56438,,Strategy,Multi-player; Co-op; Family Sharing,"20 Apr, 2011",,,
105100,,Adventure; Casual; Indie,Single-player; Family Sharing,"May 9, 2011",,599.0,253.0
202730,,Action; Adventure; Indie,Single-player; Steam Achievements; Partial Controller Support; Steam Cloud; Includes level editor; Family Sharing,"May 10, 2012",,999.0,128.0
205250,,Utilities,Steam Leaderboards,,,,
205270,,Utilities,Steam Leaderboards,"1 Oct, 2012",,,
209390,,Sports; Strategy,Multi-player; Steam Achievements; Steam Cloud; Steam Leaderboards; Family Sharing,"Jul 2, 2012",,,
209830,,Action; Adventure; Indie; RPG; Simulation,Single-player; Steam Cloud; Family Sharing,"Apr 23, 2012",,999.0,727.0
211180,,Adventure; Casual; Indie,Single-player; Steam Achievements; Partial Controller Support; Family Sharing,"8 Aug, 2012",,25900.0,305.0
218760,,Audio Production; Utilities; Video Production,,"10 May, 2017",,3399.0,629.0
220700,,Adventure; RPG; Design & Illustration; Education; Web Publishing; Game Development,Steam Trading Cards; Steam Workshop,"10 Dec, 2012",,679.0,3112.0
220960,,Photo Editing,,"11 Dec, 2012",,4599.0,
220980,,Animation & Modeling; Education; Software Training; Utilities,VR Support; Stats; Includes level editor,,,,221.0
221220,,Animation & Modeling,,,,,
222860,,,Family Sharing,,,,
223710,,Action; Adventure; Indie,Single-player; Multi-player; Co-op; Steam Cloud; Valve Anti-Cheat enabled,"25 Apr, 2013",,,299.0
227260,,Utilities,,"29 Mar, 2013",,3899.0,1018.0
228180,,Audio Production; Education; Software Training; Utilities; Video Production; Web Publishing,,"8 May, 2014",,2499.0,6769.0
229950,,Utilities,,,,,
230780,,Design & Illustration; Education; Utilities,,,,,
233680,,Animation & Modeling; Design & Illustration; Photo Editing; Utilities; Game Development,,"8 Feb, 2016",,3399.0,458.0
234820,,Indie; Free To Play; Education; Software Training; Utilities; Web Publishing; Game Development,Steam Cloud,"6 May, 2013",,,363.0
235900,,RPG; Design & Illustration; Education; Web Publishing; Game Development,Single-player,"13 Dec, 2013",,245.0,1106.0
237370,,Audio Production; Software Training; Utilities; Video Production,Steam Achievements,"10 Sep, 2013",,3699.0,344.0
241660,,Audio Production; Software Training,,"9 Dec, 2013",,3999.0,
241680,,Utilities,,"16 Dec, 2014",,2299.0,
241790,,Audio Production,Steam Cloud,"9 Sep, 2013",,,
